,titles,images,ratings,prices,product_urls
0,No Title,//static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_62673a.png,No Rating,No Price,https://flipkart.com/lava-a1-josh-bol-keypad-mobile-1000-mah-battery-expandable-storage-32gb/p/itm435dfc68caaa0?pid=MOBGPWJ4RUNKMTQJ&lid=LSTMOBGPWJ4RUNKMTQJ6E44WD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_120&otracker=search&otracker1=search&fm=Search&iid=e539f4c4-96ae-4858-a014-f933b12bdbe7.MOBGPWJ4RUNKMTQJ.SEARCH&ppt=sp&ppn=sp&ssid=60abnixtmo0000001730664186162&qH=eb4af0bf07c16429
1,No Title,//static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/buying-guide-illustration_4dd325.png,No Rating,No Price,https://flipkart.com/lava-a1-josh-bol-keypad-mobile-1000-mah-battery-expandable-storage-32gb/p/itm435dfc68caaa0?pid=MOBGPWJ4RUNKMTQJ&lid=LSTMOBGPWJ4RUNKMTQJ6E44WD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_120&otracker=search&otracker1=search&fm=Search&iid=e539f4c4-96ae-4858-a014-f933b12bdbe7.MOBGPWJ4RUNKMTQJ.SEARCH&ppt=sp&ppn=sp&ssid=60abnixtmo0000001730664186162&qH=eb4af0bf07c16429
2,"Apple iPhone 15 (Black, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/d/9/-original-imagtc2qzgnnuhxh.jpeg?q=70,4.6,"₹57,999",https://flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WVZNSC6&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=96453871-c931-406a-a159-45932df0362f.MOBGTAGPTB3VS24W.SEARCH&ppt=sp&ppn=sp&ssid=x16d80d1s00000001730665748380&qH=eb4af0bf07c16429
3,"Apple iPhone 15 (Blue, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/l/l/-original-imagtc5fz9spysyk.jpeg?q=70,4.6,"₹57,999",https://flipkart.com/apple-iphone-15-blue-128-gb/p/itmbf14ef54f645d?pid=MOBGTAGPAQNVFZZY&lid=LSTMOBGTAGPAQNVFZZY7RHDU7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=96453871-c931-406a-a159-45932df0362f.MOBGTAGPAQNVFZZY.SEARCH&ppt=sp&ppn=sp&ssid=x16d80d1s00000001730665748380&qH=eb4af0bf07c16429
4,"Apple iPhone 15 (Pink, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/c/k/-original-imagtc5fuzkvczr7.jpeg?q=70,4.6,"₹57,999",https://flipkart.com/apple-iphone-15-pink-128-gb/p/itm7579ed94ca647?pid=MOBGTAGPNMZA5PU5&lid=LSTMOBGTAGPNMZA5PU51YWTGZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=96453871-c931-406a-a159-45932df0362f.MOBGTAGPNMZA5PU5.SEARCH&ppt=sp&ppn=sp&ssid=x16d80d1s00000001730665748380&qH=eb4af0bf07c16429
5,"Apple iPhone 15 (Green, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/z/3/-original-imagtc5fqyz8tu4c.jpeg?q=70,4.6,"₹57,999",https://flipkart.com/apple-iphone-15-green-128-gb/p/itm235cd318bde73?pid=MOBGTAGPYYWZRUJX&lid=LSTMOBGTAGPYYWZRUJXUGY7PM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=96453871-c931-406a-a159-45932df0362f.MOBGTAGPYYWZRUJX.SEARCH&ppt=sp&ppn=sp&ssid=x16d80d1s00000001730665748380&qH=eb4af0bf07c16429
6,"Apple iPhone 15 Plus (Blue, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/l/l/-original-imagtc5fz9spysyk.jpeg?q=70,4.6,"₹66,999",https://flipkart.com/apple-iphone-15-plus-blue-128-gb/p/itm4022c14383050?pid=MOBGTAGPE4F2HAW7&lid=LSTMOBGTAGPE4F2HAW7NDYSPY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=96453871-c931-406a-a159-45932df0362f.MOBGTAGPE4F2HAW7.SEARCH&ppt=sp&ppn=sp&ssid=x16d80d1s00000001730665748380&qH=eb4af0bf07c16429
7,"Motorola g45 5G (Brilliant Green, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/x/-original-imah3xk8crpgrg9y.jpeg?q=70,4.4,"₹11,999",https://flipkart.com/motorola-g45-5g-brilliant-green-128-gb/p/itm156df63edff03?pid=MOBH3YKQQN3S9TQQ&lid=LSTMOBH3YKQQN3S9TQQIXCQDO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=96453871-c931-406a-a159-45932df0362f.MOBH3YKQQN3S9TQQ.SEARCH&ppt=sp&ppn=sp&ssid=x16d80d1s00000001730665748380&qH=eb4af0bf07c16429
8,"Apple iPhone 15 Plus (Black, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/d/9/-original-imagtc2qzgnnuhxh.jpeg?q=70,4.6,"₹66,999",https://flipkart.com/apple-iphone-15-plus-black-128-gb/p/itme3a53984760fb?pid=MOBGTAGPNRQA7CS3&lid=LSTMOBGTAGPNRQA7CS3L7XK7L&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=96453871-c931-406a-a159-45932df0362f.MOBGTAGPNRQA7CS3.SEARCH&ppt=sp&ppn=sp&ssid=x16d80d1s00000001730665748380&qH=eb4af0bf07c16429
9,"REDMI 13C (Starshine Green, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/6/r/-original-imahfk4xenbzxwrh.jpeg?q=70,4.3,"₹7,199",https://flipkart.com/redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=96453871-c931-406a-a159-45932df0362f.MOBGW4HKUXHFDYU2.SEARCH&ppt=sp&ppn=sp&ssid=x16d80d1s00000001730665748380&qH=eb4af0bf07c16429
